State,County,Population,Start Date
Albama,Statewide,4900000,2020-04-04
Alaska,Statewide,737000,2020-03-28
Arizona,Statewide,7200000,2020-03-31
California,Statewide,39600000,2020-03-19
Colorado,Statewide,5700000,2020-03-26
Connecticut,Statewide,3600000,2020-03-23
Delaware,Statewide,973000,2020-03-24
District of Columbia,Statewide,702000,2020-04-01
Florida,Statewide,21500000,2020-04-03
Georgia,Statewide,10600000,2020-04-03
Hawaii,Statewide,1400000,2020-03-25
Idaho,Statewide,1800000,2020-03-25
Illinois,Statewide,12700000,2020-03-21
Indiana,Statewide,"6,700,000",2020-03-25
Kansas,Statewide,2900000,2020-03-30
Kentucky,Statewide,4500000,2020-03-26
Louisiana,Statewide,4600000,2020-03-23
Maine,Statewide,1300000,2020-04-02
Maryland,Statewide,6000000,2020-03-30
Massachusetts,Statewide,6900000,2020-03-24
Michigan,Statewide,10000000,2020-03-24
Minnesota,Statewide,5600000,2020-03-27
Mississippi,Statewide,3000000,2020-04-03
Missouri,Statewide,6100000,2020-04-06
Montana,Statewide,1100000,2020-03-28
Nevada,Statewide,3100000,2020-04-01
New Hampshire,Statewide,1400000,2020-03-27
New Jersey,Statewide,8900000,2020-03-21
New Mexico,Statewide,2100000,2020-03-24
New York,Statewide,19500000,2020-03-22
North Carolina,Statewide,10400000,2020-03-30
Ohio,Statewide,11700000,2020-03-23
Oklahoma,Ardmore,25000,2020-04-06
Oklahoma,Claremore,19000,2020-04-06
Oklahoma,Edmond,93000,2020-03-30
Oklahoma,Moore,62000,2020-04-04
Oklahoma,Norman,123000,2020-03-25
Oklahoma,Oklahoma City,649000,2020-03-28
Oklahoma,Sallisaw,9000,2020-04-04
Oklahoma,Stillwater,50000,2020-03-30
Oklahoma,Tulsa,401000,2020-03-28
Oregon,Statewide,4200000,2020-03-23
Pennsylvania,Statewide,12800000,2020-04-01
Puerto Rico,Statewide,3200000,2020-03-15
Rhode Island,Statewide,1100000,2020-03-28
South Carolina,Statewide,5100000,2020-04-07
Tennessee,Statewide,6800000,2020-03-31
Texas,Statewide,29000000,2020-04-02
Utah,Davis,352000,2020-04-01
Utah,Salt Lake,1200000,2020-03-30
Utah,Summit,42000,2020-03-27
Vermont,Statewide,626000,2020-03-25
Virginia,Statewide,8500000,2020-03-30
Washington,Statewide,7500000,2020-03-23
West Virginia,Statewide,1800000,2020-03-24
Wisconsin,Statewide,5800000,2020-03-25
Wyoming,Jackson,10000,2020-03-28
