"","State","County","totalDeaths","totalCases","Income.2018","Beds","Pop.2019","popDens","StayHomeDate"
"1","California","Alameda",52,1470,76644,4046,1671329,2043.6,"2020-03-19"
"2","California","Alpine",0,2,73307,NA,1129,1.6,"2020-03-19"
"3","California","Amador",0,8,44793,52,39752,64.1,"2020-03-19"
"4","California","Butte",0,16,44346,592,219186,134.4,"2020-03-19"
"5","California","Calaveras",0,13,49893,48,45905,44.7,"2020-03-19"
"6","California","Colusa",0,3,49094,48,21547,18.6,"2020-03-19"
"7","California","Contra Costa",29,817,82506,1993,1153526,1465.2,"2020-03-19"
"8","California","Del Norte",0,3,37268,49,27812,28.4,"2020-03-19"
"9","California","El Dorado",0,42,67464,240,192843,106,"2020-03-19"
"10","California","Fresno",7,458,43084,3551,999101,156.2,"2020-03-19"
"11","California","Glenn",0,5,48613,47,28393,21.4,"2020-03-19"
"12","California","Humboldt",0,53,48739,299,135558,37.7,"2020-03-19"
"13","California","Imperial",8,251,36974,268,181215,41.8,"2020-03-19"
"14","California","Inyo",1,19,61358,62,18039,1.8,"2020-03-19"
"15","California","Kern",4,809,39703,1833,900202,103.3,"2020-03-19"
"16","California","Kings",1,52,35306,223,152940,110.1,"2020-03-19"
"17","California","Lake",0,6,43185,62,64386,51.5,"2020-03-19"
"18","California","Lassen",0,0,37844,38,30573,7.7,"2020-03-19"
"19","California","Los Angeles",916,19567,62224,30371,10039107,2419.6,"2020-03-19"
"20","California","Madera",2,40,39897,462,157327,70.6,"2020-03-19"
"21","California","Marin",12,223,134275,458,258826,485.1,"2020-03-19"
"22","California","Mariposa",0,0,53143,34,17203,12.6,"2020-03-19"
"23","California","Mendocino",0,11,50150,141,86749,25.1,"2020-03-19"
"24","California","Merced",3,103,38519,246,277680,132.2,"2020-03-19"
"25","California","Modoc",0,0,44822,113,8841,2.5,"2020-03-19"
"26","California","Mono",1,24,51325,17,14444,4.7,"2020-03-19"
"27","California","Monterey",4,183,56193,793,434061,126.5,"2020-03-19"
"28","California","Napa",2,60,74984,1780,137744,182.4,"2020-03-19"
"29","California","Nevada",1,37,61799,176,99755,103.1,"2020-03-19"
"30","California","Orange",39,2074,69268,8444,3175692,3807.7,"2020-03-19"
"31","California","Placer",8,141,66700,748,398329,247.6,"2020-03-19"
"32","California","Plumas",0,4,53599,87,18807,7.8,"2020-03-19"
"33","California","Riverside",118,3563,40637,3945,2470546,303.8,"2020-03-19"
"34","California","Sacramento",41,1037,52544,4159,1552058,1470.8,"2020-03-19"
"35","California","San Benito",2,47,53822,181,62808,39.8,"2020-03-19"
"36","California","San Bernardino",82,1732,40316,5929,2180085,101.5,"2020-03-19"
"37","California","San Diego",111,2943,61386,7658,3338330,735.8,"2020-03-19"
"38","California","San Francisco",22,1408,130696,4828,881549,17179.2,"2020-03-19"
"39","California","San Joaquin",25,512,44995,1280,762148,492.6,"2020-03-19"
"40","California","San Luis Obispo",1,166,58491,1747,283111,81.7,"2020-03-19"
"41","California","San Mateo",41,1019,126392,1781,766573,1602.2,"2020-03-19"
"42","California","Santa Barbara",7,469,62690,1054,446499,155,"2020-03-19"
"43","California","Santa Clara",100,2084,107877,3831,1927852,1381,"2020-03-19"
"44","California","Santa Cruz",2,120,69355,432,273213,589.4,"2020-03-19"
"45","California","Shasta",4,30,46582,763,180080,46.9,"2020-03-19"
"46","California","Sierra",0,0,46615,39,3005,3.4,"2020-03-19"
"47","California","Siskiyou",0,5,45065,61,43539,7.2,"2020-03-19"
"48","California","Solano",4,199,51664,749,447643,503,"2020-03-19"
"49","California","Sonoma",2,218,64501,2071,494336,307.1,"2020-03-19"
"50","California","Stanislaus",5,286,44120,1729,550660,344.2,"2020-03-19"
"51","California","Sutter",3,45,44535,92,96971,157.3,"2020-03-19"
"52","California","Tehama",1,1,42483,76,65084,21.5,"2020-03-19"
"53","California","Trinity",0,0,40640,51,12285,4.3,"2020-03-19"
"54","California","Tulare",32,504,40420,2086,466195,91.7,"2020-03-19"
"55","California","Tuolumne",0,3,47838,152,54478,24.9,"2020-03-19"
"56","California","Ventura",16,496,61712,1690,846006,446.7,"2020-03-19"
"57","California","Yolo",13,161,54118,156,220500,197.9,"2020-03-19"
"58","California","Yuba",1,16,40929,173,78668,114.2,"2020-03-19"
"59","Florida","Alachua",2,251,44390,1765,269043,282.7,"2020-04-03"
"60","Florida","Baker",3,20,32313,1163,29210,46.3,"2020-04-03"
"61","Florida","Bay",2,65,43231,752,174705,222.6,"2020-04-03"
"62","Florida","Bradford",2,43,33557,25,28201,97,"2020-04-03"
"63","Florida","Brevard",8,252,45425,1768,601942,535,"2020-04-03"
"64","Florida","Broward",170,4729,50269,6803,1952778,1444.9,"2020-04-03"
"65","Florida","Calhoun",0,6,26873,25,14105,25.8,"2020-04-03"
"66","Florida","Charlotte",14,203,41564,823,188910,235.2,"2020-04-03"
"67","Florida","Citrus",11,97,37920,332,149657,242.8,"2020-04-03"
"68","Florida","Clay",14,267,42909,416,219252,315.8,"2020-04-03"
"69","Florida","Collier",15,552,92686,1051,384902,160.9,"2020-04-03"
"70","Florida","Columbia",0,49,35074,346,71686,84.7,"2020-04-03"
"71","Florida","DeSoto",4,24,23610,NA,38001,54.7,"2020-04-03"
"72","Florida","Dixie",0,6,27956,NA,16826,23.3,"2020-04-03"
"73","Florida","Duval",18,984,46174,4071,957755,1133.9,"2020-04-03"
"74","Florida","Escambia",11,457,42537,1310,318316,453.4,"2020-04-03"
"75","Florida","Flagler",2,121,46220,99,115081,197.1,"2020-04-03"
"76","Florida","Franklin",0,2,35988,25,12125,21.6,"2020-04-03"
"77","Florida","Gadsden",0,81,35139,1253,45660,89.8,"2020-04-03"
"78","Florida","Gilchrist",0,4,33774,NA,18582,48.4,"2020-04-03"
"79","Florida","Glades",1,6,24467,NA,13811,16,"2020-04-03"
"80","Florida","Gulf",0,1,35701,19,13639,28.1,"2020-04-03"
"81","Florida","Hamilton",0,6,26016,NA,14428,28.8,"2020-04-03"
"82","Florida","Hardee",0,10,28285,25,26937,43.5,"2020-04-03"
"83","Florida","Hendry",2,65,31071,25,42022,34,"2020-04-03"
