State,County,Income
Alabama,Autauga,"41,618"
Alabama,Baldwin,"45,596"
Alabama,Barbour,"35,199"
Alabama,Bibb,"30,254"
Alabama,Blount,"34,976"
Alabama,Bullock,"28,797"
Alabama,Butler,"36,450"
Alabama,Calhoun,"37,120"
Alabama,Chambers,"33,859"
Alabama,Cherokee,"35,505"
Alabama,Chilton,"34,798"
Alabama,Choctaw,"39,280"
Alabama,Clarke,"36,361"
Alabama,Clay,"33,530"
Alabama,Cleburne,"36,159"
Alabama,Coffee,"43,094"
Alabama,Colbert,"38,378"
Alabama,Conecuh,"32,656"
Alabama,Coosa,"31,328"
Alabama,Covington,"35,651"
Alabama,Crenshaw,"36,645"
Alabama,Cullman,"39,607"
Alabama,Dale,"36,613"
Alabama,Dallas,"36,026"
Alabama,DeKalb,"31,916"
Alabama,Elmore,"42,269"
Alabama,Escambia,"32,996"
Alabama,Etowah,"36,918"
Alabama,Fayette,"34,966"
Alabama,Franklin,"34,318"
Alabama,Geneva,"35,192"
Alabama,Greene,"32,359"
Alabama,Hale,"36,585"
Alabama,Henry,"40,360"
Alabama,Houston,"42,398"
Alabama,Jackson,"36,567"
Alabama,Jefferson,"54,730"
Alabama,Lamar,"33,496"
Alabama,Lauderdale,"37,151"
Alabama,Lawrence,"34,125"
Alabama,Lee,"38,036"
Alabama,Limestone,"42,546"
Alabama,Lowndes,"38,991"
Alabama,Macon,"32,919"
Alabama,Madison,"51,445"
Alabama,Marengo,"39,801"
Alabama,Marion,"33,264"
Alabama,Marshall,"36,044"
Alabama,Mobile,"38,243"
Alabama,Monroe,"33,456"
Alabama,Montgomery,"43,688"
Alabama,Morgan,"39,991"
Alabama,Perry,"30,535"
Alabama,Pickens,"32,551"
Alabama,Pike,"37,359"
Alabama,Randolph,"32,411"
Alabama,Russell,"33,104"
Alabama,St. Clair,"38,569"
Alabama,Shelby,"54,369"
Alabama,Sumter,"31,664"
Alabama,Talladega,"34,718"
Alabama,Tallapoosa,"40,696"
Alabama,Tuscaloosa,"38,822"
Alabama,Walker,"40,197"
Alabama,Washington,"36,323"
Alabama,Wilcox,"32,215"
Alabama,Winston,"35,430"
Alaska,Aleutians East Borough,"56,676"
Alaska,Aleutians West Census Area,"54,385"
Alaska,Anchorage Municipality,"66,510"
Alaska,Bethel Census Area,"43,500"
Alaska,Bristol Bay Borough,"143,575"
Alaska,Denali Borough,"82,919"
Alaska,Dillingham Census Area,"59,621"
Alaska,Fairbanks North Star Borough,"56,606"
Alaska,Haines Borough,"67,059"
Alaska,Hoonah-Angoon Census Area,"61,752"
Alaska,Juneau City and Borough,"68,145"
Alaska,Kenai Peninsula Borough,"52,015"
Alaska,Ketchikan Gateway Borough,"67,602"
Alaska,Kodiak Island Borough,"63,938"
Alaska,Kusilvak Census Area,"30,099"
Alaska,Lake and Peninsula Borough,"65,414"
Alaska,Matanuska-Susitna Borough,"45,897"
Alaska,Nome Census Area,"51,378"
Alaska,North Slope Borough,"83,489"
Alaska,Northwest Arctic Borough,"47,854"
Alaska,Petersburg Borough,"69,995"
Alaska,Prince of Wales-Hyder Census Area,"43,707"
Alaska,Sitka City and Borough,"71,972"
Alaska,Skagway Municipality,"81,471"
Alaska,Southeast Fairbanks Census Area,"49,398"
Alaska,Valdez-Cordova Census Area,"62,307"
Alaska,Wrangell City and Borough,"47,658"
Alaska,Yakutat City and Borough,"58,937"
Alaska,Yukon-Koyukuk Census Area,"59,010"
Arizona,Apache,"34,355"
Arizona,Cochise,"40,308"
Arizona,Coconino,"48,129"
Arizona,Gila,"40,267"
Arizona,Graham,"31,597"
Arizona,Greenlee,"39,855"
Arizona,La Paz,"30,948"
Arizona,Maricopa,"47,694"
Arizona,Mohave,"33,148"
Arizona,Navajo,"32,165"
Arizona,Pima,"44,028"
Arizona,Pinal,"30,644"
Arizona,Santa Cruz,"39,057"
Arizona,Yavapai,"40,312"
Arizona,Yuma,"35,682"
Arkansas,Arkansas,"45,290"
Arkansas,Ashley,"34,813"
Arkansas,Baxter,"37,106"
Arkansas,Benton,"88,890"
Arkansas,Boone,"36,089"
Arkansas,Bradley,"39,491"
Arkansas,Calhoun,"34,426"
Arkansas,Carroll,"33,690"
Arkansas,Chicot,"36,293"
Arkansas,Clark,"36,314"
Arkansas,Clay,"34,149"
Arkansas,Cleburne,"38,307"
